ControlId,FeatureName,Status,SupportedResources,Severity,PropertyPath,LineNumber,CurrentValue,ExpectedProperty,ExpectedValue,ResourcePath,ResourceLineNumber,Description,FilePath
Azure_AppService_Audit_Enable_Logging_and_Monitoring,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.properties.siteConfig.requestTracingEnabled | $.properties.requestTracingEnabled,'True',"resources[0] , resources[0]",32,Auditing and Monitoring must be enabled for App Service,.\app-service.json
Azure_AppService_Audit_Enable_Logging_and_Monitoring,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.properties.siteConfig.httpLoggingEnabled | $.properties.httpLoggingEnabled,'True',"resources[0] , resources[0]",32,Auditing and Monitoring must be enabled for App Service,.\app-service.json
Azure_AppService_Audit_Enable_Logging_and_Monitoring,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.properties.siteConfig.detailedErrorLoggingEnabled | $.properties.detailedErrorLoggingEnabled,'True',"resources[0] , resources[0]",32,Auditing and Monitoring must be enabled for App Service,.\app-service.json
Azure_AppService_Audit_Enable_Logging_and_Monitoring,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,resources[1].properties.requestTracingEnabled,103,FALSE,$.properties.siteConfig.requestTracingEnabled | $.properties.requestTracingEnabled,'True',resources[1],87,Auditing and Monitoring must be enabled for App Service,.\app-service.json
Azure_AppService_Audit_Enable_Logging_and_Monitoring,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,resources[1].properties.httpLoggingEnabled,106,FALSE,$.properties.siteConfig.httpLoggingEnabled | $.properties.httpLoggingEnabled,'True',resources[1],87,Auditing and Monitoring must be enabled for App Service,.\app-service.json
Azure_AppService_Audit_Enable_Logging_and_Monitoring,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,resources[1].properties.detailedErrorLoggingEnabled,108,FALSE,$.properties.siteConfig.detailedErrorLoggingEnabled | $.properties.detailedErrorLoggingEnabled,'True',resources[1],87,Auditing and Monitoring must be enabled for App Service,.\app-service.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthEnabled | $.properties.siteAuthEnabled,'True',"resources[0] , resources[0]",32,App Service must authenticate users using Azure Active Directory backed credentials,.\app-service.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthSettings.clientId | $.properties.siteAuthSettings.clientId,Non-null string,"resources[0] , resources[0]",32,App Service must authenticate users using Azure Active Directory backed credentials,.\app-service.json
Azure_AppService_AuthN_Use_Managed_Service_Identity,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.identity.type,Allow 'SystemAssigned',"resources[0] , resources[0]",32,Use Managed Service Identity (MSI) for accessing other AAD-protected resources from the app service.,.\app-service.json
Azure_AppService_BCDR_Use_AlwaysOn,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.properties.siteConfig.alwaysOn | $.properties.alwaysOn,'True',"resources[0] , resources[0]",32,'Always On' should be configured for App Service,.\app-service.json
